bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,price,age_on_sale,renovated,high_value
3,2.5,2320,3980,2.0,0,0,3,8,2320,0,98027,580500,11,0,0
2,1.5,1190,1265,3.0,0,0,3,7,1190,0,98133,280000,9,0,0
4,1.75,2330,5000,1.5,0,0,4,7,1510,820,98117,687500,85,0,1
3,1.0,1090,3000,1.5,0,0,4,8,1090,0,98117,535000,85,0,0
4,2.75,2060,6659,1.0,0,0,3,7,1280,780,98058,322500,33,0,0
3,2.5,2300,3060,1.5,0,0,3,8,1510,790,98115,696000,84,1,1
4,1.0,1660,34848,1.0,0,0,1,5,930,730,98052,550000,81,0,0
4,2.0,2360,6000,2.0,0,0,4,8,2360,0,98107,640000,110,0,0
4,1.0,1220,8075,1.0,0,0,2,7,890,330,98001,240000,46,0,0
4,2.5,2620,7553,2.0,0,0,3,8,2620,0,98056,605000,18,0,0
4,2.5,2570,5520,2.0,0,0,3,9,2570,0,98074,625000,14,0,0
4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,98166,775000,30,0,1
5,2.75,3595,5639,2.0,0,0,3,9,3595,0,98053,861990,0,0,1
3,1.0,1570,2280,2.0,0,0,3,7,1570,0,98119,685000,92,0,1
3,1.0,1280,9656,1.0,0,0,4,6,920,360,98058,309000,55,0,0
3,2.5,3160,13603,2.0,0,0,3,8,3160,0,98019,488000,11,0,0
3,1.0,990,8528,1.0,0,0,3,6,990,0,98023,210490,49,0,0
4,2.5,2290,13416,2.0,0,0,4,9,2290,0,98007,785000,33,0,1
3,1.75,1250,5963,1.0,0,0,4,7,1250,0,98115,450000,62,0,0
3,2.5,2753,65005,1.0,1,2,5,9,2165,588,98070,1350000,62,0,1
3,1.0,1190,9199,1.0,0,0,3,7,1190,0,98148,228000,59,0,0
5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,98056,345000,49,0,0
3,1.75,1410,4080,1.0,0,0,4,7,1000,410,98117,600000,64,0,0
2,1.75,1980,8550,1.0,0,0,3,7,990,990,98117,585000,34,0,0
5,2.25,2730,6000,1.5,0,0,3,8,2130,600,98105,920000,88,0,1
4,2.5,2830,5000,2.0,0,0,3,9,2830,0,98105,885000,19,0,1
4,2.5,2250,4495,2.0,0,0,3,7,2250,0,98042,292500,6,0,0
3,2.5,2420,4750,2.0,0,0,3,8,2420,0,98042,301000,12,0,0
5,3.25,3250,14342,2.0,0,4,4,8,3250,0,98008,951000,46,0,1
4,3.0,1850,9976,2.0,0,0,3,8,1850,0,98059,430000,24,0,0
3,2.25,2150,21235,1.0,0,3,4,8,1590,560,98166,650000,55,0,1
3,1.75,1260,8400,1.0,0,0,3,7,1260,0,98148,289000,60,0,0
3,1.75,2519,8690,2.0,0,0,5,8,2519,0,98166,505000,41,0,0
3,1.75,1540,1044,3.0,0,0,3,8,1540,0,98115,549000,0,0,0
3,2.25,1660,6000,1.0,0,0,3,7,1110,550,98122,425000,35,0,0
3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,98144,317625,89,0,0
4,2.5,2720,11049,2.0,0,0,3,10,2720,0,98004,975000,25,0,1
4,2.5,2240,4648,2.0,0,0,3,7,2240,0,98001,287000,9,0,0
3,1.0,1000,12070,1.0,0,0,4,7,1000,0,98042,204000,46,0,0
5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,98004,1330000,49,0,1
5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,98005,1040000,41,0,1
3,2.0,1260,5612,1.0,0,0,4,7,1260,0,98034,325000,43,0,0
4,2.0,2750,7807,1.5,0,0,5,7,2250,500,98125,571000,98,0,0
4,2.5,2380,5000,2.0,0,0,3,8,2380,0,98038,360000,9,0,0
3,1.75,1790,50529,1.0,0,0,5,7,1090,700,98042,349000,50,0,0
4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,98075,832500,28,0,1
4,1.75,1760,7300,1.0,0,0,3,7,880,880,98008,380000,58,0,0
3,1.0,1040,5060,1.0,0,0,3,7,1040,0,98116,480000,74,0,0
3,1.0,1410,5060,1.0,0,0,4,7,910,500,98133,410000,58,0,0
4,2.5,3450,39683,2.0,0,0,3,10,3450,0,98010,720000,13,0,1
3,2.5,2350,5100,2.0,0,0,3,8,2350,0,98038,390000,11,0,0
4,2.5,1900,5889,2.0,0,0,3,7,1900,0,98038,360000,22,0,0
2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,98118,355000,66,0,0
3,1.5,1680,8712,1.0,0,0,3,8,1680,0,98059,356000,51,0,0
3,1.0,960,6634,1.0,0,0,3,6,960,0,98125,315000,62,0,0
3,1.5,2140,3600,2.0,0,0,3,9,1900,240,98119,940000,89,0,1
5,2.25,2660,8400,1.5,0,0,5,7,2660,0,98092,305000,53,0,0
3,3.25,2770,6278,2.0,0,0,3,9,1980,790,98056,461000,8,0,0
2,2.25,1610,2040,2.0,0,0,4,7,1610,0,98056,215000,35,0,0
2,1.75,1030,1066,2.0,0,0,3,7,765,265,98136,335000,8,0,0
4,2.5,1980,7403,2.0,0,0,3,7,1980,0,98023,243500,26,0,0
5,2.75,3520,6353,2.0,0,0,4,10,3520,0,98199,1100000,14,0,1
3,1.0,1200,10500,1.0,0,0,3,7,1200,0,98023,153000,53,0,0
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,98117,430000,75,0,0
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,98117,700000,75,0,1
4,2.5,3300,10250,1.0,0,0,3,7,2390,910,98040,905000,68,1,1
3,1.75,1960,15681,1.0,0,0,3,7,1960,0,98032,247500,48,0,0
4,1.5,1160,6400,1.0,0,0,4,7,1160,0,98023,199000,39,0,0
3,1.75,1810,41800,1.0,0,0,5,7,1210,600,98038,314000,34,0,0
3,2.5,2320,36847,2.0,0,2,3,9,2320,0,98045,437500,22,0,0
3,2.5,2070,13241,1.5,0,0,5,9,1270,800,98102,850830,104,0,1
3,2.0,1980,3478,1.5,0,0,4,7,1440,540,98117,555000,85,0,0
3,2.25,2190,107593,2.0,0,0,4,8,2190,0,98077,699950,31,0,1
3,2.5,2920,8113,2.0,0,0,3,8,2920,0,98004,1090000,64,1,1
3,1.0,1210,33919,1.0,0,0,3,7,1210,0,98058,290000,60,0,0
3,2.5,2340,10005,1.0,0,0,4,8,1460,880,98058,375000,37,0,0
3,1.0,1670,4005,1.5,0,0,4,7,1170,500,98117,460000,75,0,0
2,1.75,1240,2493,1.0,0,0,4,8,1240,0,98198,188500,29,0,0
4,2.5,3140,28037,2.0,0,0,4,10,3140,0,98077,680000,24,0,1
5,1.75,2030,12342,2.0,0,0,4,7,2030,0,98052,470000,72,0,0
4,2.5,2310,9624,2.0,0,0,3,8,2310,0,98027,597750,30,0,0
3,1.75,1260,3328,1.0,0,0,5,6,700,560,98103,570000,110,0,0
3,1.75,1540,12600,1.0,0,0,4,7,1160,380,98038,272500,34,0,0
3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,98108,329950,43,0,0
4,2.5,3230,16171,2.0,0,3,3,9,2520,710,98001,480000,13,0,0
3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,98117,740500,114,1,1
3,3.5,1590,1102,3.0,0,0,3,8,1590,0,98103,518500,4,0,0
2,1.0,880,6780,1.0,0,0,4,6,880,0,98178,205425,69,0,0
4,2.0,1570,9600,1.0,0,0,3,6,1570,0,98168,171800,65,0,0
4,1.0,1610,2982,1.5,0,0,4,7,1610,0,98144,535000,90,0,0
3,2.5,2400,6474,1.0,0,2,3,8,1560,840,98177,660000,51,0,1
3,2.0,1450,9132,1.0,0,0,3,7,1450,0,98034,391500,27,0,0
2,1.0,770,6000,1.0,0,0,3,6,770,0,98117,395000,62,0,0
4,1.75,2100,4400,1.5,0,0,5,7,1720,380,98118,445000,90,0,0
3,2.25,2910,10204,2.0,0,0,3,9,2910,0,98052,770000,24,0,1
4,2.75,2750,17789,1.5,0,0,3,8,1980,770,98004,1450000,101,1,1
3,2.25,2100,8201,1.0,0,2,3,8,1620,480,98178,445000,47,0,0
4,2.25,2160,8811,1.0,0,0,3,8,1360,800,98023,260000,36,0,0
5,3.5,2320,4960,2.0,0,0,5,7,1720,600,98103,822500,88,0,1
4,2.5,2070,4310,2.0,0,0,3,7,2070,0,98065,430000,11,0,0
3,1.75,1060,7875,1.0,0,0,4,7,1060,0,98092,212000,29,0,0
4,2.25,2010,9603,1.0,0,0,3,8,1440,570,98027,660500,29,0,1
3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,98052,784000,25,0,1
3,2.5,2010,2287,2.0,0,0,3,8,1390,620,98029,453246,0,0,0
4,3.5,2140,2278,3.0,0,0,3,9,2140,0,98107,675000,10,0,1
3,1.75,1320,17390,1.0,0,0,4,7,1320,0,98003,199000,58,0,0
4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,98003,220000,46,0,0
4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,98028,452000,46,0,0
2,1.0,1190,4440,1.0,0,0,3,6,1190,0,98125,382500,33,0,0
3,2.25,1170,1249,3.0,0,0,3,8,1170,0,98107,519950,0,0,0
2,1.0,1110,3200,1.0,0,0,3,7,1110,0,98119,665000,89,0,1
5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,98006,527700,46,0,0
3,1.0,1610,8579,1.0,0,0,4,7,1010,600,98058,205000,53,0,0
3,1.0,1060,8097,1.0,0,0,4,7,940,120,98133,420000,92,0,0
4,2.25,2030,8517,1.0,0,0,4,8,1380,650,98006,500000,54,0,0
4,2.5,3670,315374,2.0,0,0,4,9,3670,0,98077,921500,20,0,1
4,1.0,2550,4000,2.0,0,0,3,8,2370,180,98109,890000,109,0,1
2,2.5,2420,60984,2.0,0,0,3,7,2420,0,98027,430000,7,0,0
5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,98032,258000,54,0,0
3,1.0,1430,3455,1.0,0,0,3,7,980,450,98103,511000,67,0,0
3,2.0,1360,3090,2.0,0,0,3,8,1360,0,98103,532170,24,0,0
3,1.0,1110,5000,1.5,0,0,3,7,1110,0,98107,560000,68,0,0
3,1.0,1250,8200,1.0,0,0,4,7,1250,0,98003,282950,61,0,0
4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,98006,2250000,9,0,1
1,1.0,700,5100,1.0,0,0,3,7,700,0,98115,350000,72,0,0
3,1.0,1180,7669,1.0,0,0,4,7,1180,0,98058,215000,47,0,0
5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,98056,650000,18,0,1
4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,98023,320000,47,0,0
3,2.0,1270,7198,1.5,0,0,3,7,1270,0,98022,247000,98,1,0
4,1.75,1760,11180,1.0,0,0,4,8,1760,0,98059,320000,46,0,0
5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,98146,255000,52,0,0
3,1.75,1780,9660,1.0,0,0,3,7,1780,0,98034,438000,53,0,0
3,2.5,3400,16603,2.0,0,0,3,10,3400,0,98075,900000,15,0,1
3,2.75,1910,7280,1.0,0,0,3,7,1160,750,98034,441000,35,0,0
3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,98027,420000,39,0,0
3,1.75,1580,7000,1.0,0,0,3,7,1180,400,98034,370000,38,0,0
2,1.75,1340,7250,1.0,0,0,5,5,700,640,98198,269950,66,0,0
4,2.5,2680,4499,2.0,0,0,3,9,2680,0,98006,807100,16,0,1
3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,98034,653000,35,0,1
3,2.0,1370,8336,1.0,0,0,5,7,1370,0,98133,371500,50,0,0
3,1.75,1560,21000,1.0,0,0,3,7,1560,0,98166,284000,61,0,0
3,1.75,2160,7140,1.0,0,0,4,7,1670,490,98023,272000,37,0,0
3,1.5,1340,7912,1.5,0,0,3,7,1340,0,98133,313000,59,0,0
4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,98033,917500,31,0,1
4,2.25,2590,8190,2.0,0,0,4,8,2590,0,98006,673000,34,0,1
3,2.5,1120,1100,2.0,0,0,3,8,820,300,98122,425000,7,0,0
5,2.75,1970,5400,1.0,0,0,3,7,1320,650,98144,399950,28,0,0
3,1.0,1220,4800,1.0,0,0,3,6,1220,0,98122,385000,113,0,0
3,1.5,1950,7560,1.0,0,2,4,7,1320,630,98022,269950,39,0,0
2,1.0,1350,8220,1.0,0,0,3,7,1060,290,98177,330000,66,0,0
3,2.5,1670,5797,2.0,0,0,3,7,1670,0,98030,260000,26,0,0
4,3.0,2380,5125,1.5,0,0,4,7,1680,700,98126,470000,90,0,0
4,3.0,2440,9600,2.0,0,0,5,7,2440,0,98034,589000,53,0,0
2,1.5,1050,3419,2.0,0,0,3,7,1050,0,98038,163500,18,0,0
4,2.75,3130,13412,2.0,0,0,3,9,2140,990,98052,835000,21,0,1
5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,98033,1100000,28,0,1
4,1.75,1490,10000,1.0,0,0,4,8,1100,390,98023,269000,46,0,0
3,2.5,1900,8744,2.0,0,0,3,8,1900,0,98074,560000,27,0,0
4,1.0,1330,2400,1.5,0,0,4,6,1330,0,98103,615000,114,0,0
3,2.25,2230,10026,1.0,0,0,3,8,1430,800,98052,585188,39,0,0
3,1.75,1650,9480,1.0,0,0,3,7,1220,430,98034,305000,37,0,0
3,1.0,1190,8820,1.0,0,0,3,6,1190,0,98058,166950,55,0,0
3,2.5,2140,9897,1.0,0,0,4,8,2140,0,98040,799000,55,0,1
3,2.5,2180,7508,1.0,0,0,4,7,1420,760,98133,400000,52,0,0
3,1.0,1060,10228,1.0,0,0,3,7,1060,0,98155,230000,66,0,0
3,2.5,1690,5025,2.0,0,0,3,8,1690,0,98023,256883,11,0,0
4,2.0,1970,6480,1.5,0,0,5,7,1130,840,98108,423000,94,0,0
3,2.5,2150,4084,2.0,0,0,3,8,2150,0,98126,465000,7,0,0
3,2.5,1910,66211,2.0,0,0,3,7,1910,0,98024,440000,18,0,0
3,1.75,1350,155073,1.0,0,0,4,7,1350,0,98038,385000,45,0,0
3,1.0,860,11725,1.0,0,0,4,6,860,0,98056,210000,72,0,0
3,2.5,1940,14952,2.0,0,0,3,8,1940,0,98042,297000,20,0,0
3,1.0,1010,5000,1.0,0,0,3,7,1010,0,98107,470000,62,0,0
3,1.5,1300,7370,1.0,0,0,4,7,900,400,98023,226500,38,0,0
3,1.0,910,8450,1.0,0,0,4,6,910,0,98059,274250,53,0,0
4,1.75,2480,11010,1.0,0,0,4,9,1630,850,98040,840000,48,0,1
3,2.5,2440,4587,2.0,0,0,3,8,2440,0,98052,677900,4,0,1
3,1.0,1010,5864,1.0,0,0,3,7,1010,0,98116,425000,100,0,0
2,0.75,900,9600,1.0,0,0,3,6,900,0,98166,180250,73,0,0
6,3.0,2300,3404,2.0,0,0,3,7,1600,700,98133,464000,94,1,0
4,2.25,1550,7579,2.0,0,0,3,8,1550,0,98038,320000,22,0,0
3,2.25,1270,1566,2.0,0,0,3,8,1060,210,98105,625504,0,0,0
4,2.5,2240,12032,1.0,0,0,3,9,2240,0,98074,592500,31,0,0
3,2.5,2714,17936,2.0,0,0,3,9,2714,0,98001,465000,10,0,0
4,2.75,1720,6270,2.0,0,0,3,8,1720,0,98118,477000,36,0,0
2,1.0,850,16400,1.0,0,0,3,6,850,0,98168,280000,92,0,0
5,3.0,3300,33474,1.0,0,3,3,9,1870,1430,98040,1510000,58,1,1
3,2.5,2250,5692,2.0,0,0,3,8,2250,0,98146,445838,14,0,0
2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,98144,1070000,67,0,1
2,1.5,1320,10800,1.0,0,0,4,8,1320,0,98177,467000,67,0,0
4,2.5,2760,6440,2.0,0,0,3,10,2760,0,98075,686000,15,0,1
3,2.0,1750,9750,1.0,0,0,3,7,1350,400,98198,279950,53,0,0
4,2.25,2330,19436,2.0,0,0,3,8,2330,0,98011,527000,27,0,0
3,2.25,2220,16020,1.0,0,0,4,8,1780,440,98030,325000,48,0,0
3,2.25,2020,8379,2.0,0,0,3,7,2020,0,98038,328000,20,0,0
3,2.25,1250,7500,1.0,0,0,5,7,1250,0,98146,390000,72,0,0
2,2.0,1510,6516,1.0,0,0,3,8,1510,0,98053,479950,10,0,0
4,2.25,1720,9753,1.0,0,0,4,7,1120,600,98023,264950,36,0,0
3,1.0,1430,15246,1.0,0,0,4,7,980,450,98031,235000,54,0,0
3,2.5,1480,4729,2.0,0,0,3,7,1480,0,98053,516500,11,0,0
2,1.75,1450,15798,2.0,1,4,3,7,1230,220,98166,655000,100,1,1
4,2.75,2280,15347,1.0,0,0,5,7,2280,0,98059,500000,54,0,0
6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,98023,315000,36,0,0
2,1.0,1000,10200,1.0,0,0,3,6,1000,0,98024,213000,53,0,0
3,1.5,2480,5280,1.5,0,0,5,7,1620,860,98108,475000,67,0,0
5,4.0,3760,28040,2.0,0,0,3,10,3760,0,98033,1030000,31,0,1
3,2.0,2220,94300,1.0,0,0,5,7,1640,580,98010,416000,39,0,0
4,1.0,1970,4740,1.5,0,0,3,7,1670,300,98122,410000,111,1,0
3,3.5,3830,221284,2.0,0,0,3,10,3530,300,98077,800000,21,0,1
6,2.5,4410,14034,1.0,0,2,4,9,2350,2060,98003,472000,49,0,0
3,1.75,1430,8505,1.0,0,0,4,7,1430,0,98003,225000,46,0,0
2,1.0,830,6000,1.0,0,0,3,6,830,0,98126,210000,74,0,0
2,1.0,1430,5000,1.5,0,0,2,7,1430,0,98115,455000,90,0,0
3,1.0,1300,8316,1.0,0,0,4,6,1300,0,98002,225000,61,0,0
2,1.0,1030,3060,1.0,0,2,4,7,790,240,98103,480000,96,0,0
3,2.5,2740,11872,2.0,0,0,3,9,2740,0,98023,363000,25,0,0
4,2.5,3650,8354,1.0,1,4,3,9,1830,1820,98074,2400000,14,0,1
2,1.5,720,5120,1.0,0,0,3,6,720,0,98106,181000,61,0,0
4,2.0,2010,7312,1.0,0,0,4,7,2010,0,98002,250000,39,0,0
3,1.75,1560,3000,1.0,0,0,4,6,770,790,98103,481000,97,0,0
3,2.0,1810,7209,1.0,0,0,4,7,1240,570,98032,260000,36,0,0
4,2.5,3360,7685,2.0,0,0,3,9,3360,0,98058,455000,13,0,0
3,2.25,1510,36224,2.0,0,0,3,8,1510,0,98045,415000,24,0,0
3,1.0,1400,3538,1.0,0,0,3,7,800,600,98118,349500,62,0,0
3,2.5,1730,7442,2.0,0,0,3,7,1730,0,98030,245000,27,0,0
2,2.0,1420,9191,1.5,0,2,5,7,1420,0,98115,592500,86,0,0
4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,98106,385000,59,0,0
3,1.75,1580,11455,1.0,0,0,4,7,1200,380,98059,315000,41,0,0
3,1.0,1230,10170,1.0,0,0,3,7,1230,0,98045,255000,35,0,0
4,2.5,2460,4425,2.0,0,0,3,8,2460,0,98052,693000,8,0,1
3,1.0,1660,4400,1.5,0,0,3,8,1460,200,98112,780000,103,0,1
3,1.75,1270,8470,1.0,0,0,4,7,1270,0,98198,237000,54,0,0
3,2.25,2100,40510,2.0,0,0,3,10,1320,780,98074,525000,35,0,0
2,1.0,770,5040,1.0,0,0,3,5,770,0,98144,425000,85,0,0
1,0.75,760,10079,1.0,1,4,5,5,760,0,98070,369900,78,0,0
4,2.5,1700,7280,2.0,0,0,4,7,1700,0,98031,290000,26,0,0
3,1.0,1120,10701,1.0,0,0,3,7,1120,0,98106,285000,60,0,0
2,1.0,1070,4500,1.0,0,0,3,7,1070,0,98115,415000,77,0,0
3,2.5,2070,9900,1.0,0,0,3,8,1420,650,98023,272500,36,0,0
4,3.25,5050,20100,1.5,0,2,3,11,4750,300,98004,2900000,33,1,1
4,4.75,5310,57346,2.0,0,0,4,11,5310,0,98077,1370000,25,0,1
2,1.0,1040,7538,1.0,0,0,4,7,1040,0,98133,436000,76,0,0
3,1.0,1700,11390,1.0,0,0,4,7,1700,0,98003,210000,47,0,0
3,1.0,1300,5898,1.0,0,0,3,7,1300,0,98178,236000,53,0,0
3,1.75,1080,1306,1.0,0,0,3,7,580,500,98199,331000,60,1,0
3,2.5,2653,4510,2.0,0,0,3,8,2653,0,98031,365000,9,0,0
3,2.0,2290,16258,1.0,0,0,5,8,2290,0,98058,450000,55,0,0
4,2.75,3820,26300,2.0,0,0,3,9,2850,970,98028,770000,0,0,1
4,2.5,2210,49375,1.0,0,0,3,8,2210,0,98038,455000,18,0,0
3,1.75,2390,6000,1.0,0,0,3,6,1240,1150,98118,405000,107,0,0
4,1.75,2600,11325,1.0,0,0,4,7,1610,990,98031,304900,45,0,0
2,1.0,860,5265,1.0,0,0,3,6,860,0,98178,170000,84,0,0
5,3.0,3830,8480,2.0,0,1,5,9,2630,1200,98122,2050000,110,1,1
4,2.5,3500,7048,2.0,0,0,3,9,3500,0,98053,780000,9,0,1
3,3.0,2420,13959,1.0,0,0,4,8,1740,680,98028,330000,27,0,0
4,2.5,2720,8666,2.0,0,0,3,9,2720,0,98030,370000,22,0,0
5,2.25,2500,13500,1.0,0,0,3,7,1850,650,98072,467000,35,0,0
3,1.75,1670,6720,1.0,0,0,3,7,1140,530,98034,405000,35,0,0
5,2.25,2900,10300,1.0,0,0,3,8,1450,1450,98006,675000,29,0,1
2,1.0,1640,14100,1.0,0,0,4,7,1140,500,98006,500000,60,0,0
4,2.5,1890,15770,2.0,0,0,4,7,1890,0,98166,389999,46,0,0
4,1.75,2950,9025,1.0,0,2,4,8,1780,1170,98034,630000,40,0,0
4,2.5,2160,9528,2.0,0,0,3,9,2160,0,98001,360000,22,0,0
4,3.0,3280,11060,2.0,0,0,3,8,2270,1010,98056,580000,28,0,0
3,2.0,1970,4166,2.0,0,3,5,8,1270,700,98126,550000,85,0,0
4,2.5,3360,22111,2.0,0,0,3,10,3360,0,98075,879000,20,0,1
3,2.0,1320,8959,1.0,0,0,3,7,1320,0,98042,265000,21,0,0
3,2.5,2650,7286,2.0,0,0,3,8,2650,0,98059,446500,25,0,0
3,1.5,2030,8880,1.0,0,0,3,7,1330,700,98108,404000,51,0,0
3,1.75,1590,11914,1.0,0,2,3,7,1090,500,98188,267500,57,0,0
4,5.0,4550,18641,1.0,1,4,3,10,2600,1950,98074,3080000,12,0,1
3,2.5,2440,7632,2.0,0,0,3,8,2440,0,98003,335000,16,0,0
3,2.5,1940,9000,1.0,0,0,4,7,970,970,98117,576000,66,0,0
3,2.5,2040,3810,2.0,0,0,3,8,2040,0,98038,208633,9,0,0
3,2.25,2200,8750,1.0,0,0,4,7,1120,1080,98166,315000,51,0,0
3,1.75,1920,3300,1.0,0,0,4,8,960,960,98112,725000,102,0,1
4,2.75,1800,7750,1.0,0,0,4,8,1400,400,98177,550000,50,0,0
4,2.25,2180,7297,2.0,0,0,3,8,2180,0,98074,610750,30,0,0
2,1.0,1010,5000,1.5,0,0,4,6,1010,0,98105,550700,107,0,0
4,2.75,3320,10574,2.0,0,0,5,8,2220,1100,98056,665000,55,0,1
4,2.5,2370,4000,1.5,0,2,5,8,1980,390,98144,834000,87,0,1
5,1.75,1660,78408,1.5,0,0,3,6,1660,0,98065,201000,99,0,0
5,2.5,3650,9050,2.0,0,4,5,10,3370,280,98119,2380000,93,0,1
4,3.25,4290,12103,1.0,0,3,3,11,2690,1600,98006,1380000,17,0,1
4,3.25,4290,12103,1.0,0,3,3,11,2690,1600,98006,1400000,17,0,1
4,2.25,1950,7700,1.0,0,0,3,8,1350,600,98058,305000,35,0,0
3,2.0,2590,14052,1.0,0,0,5,8,1720,870,98133,487000,67,0,0
3,2.5,1930,64904,1.0,0,0,4,8,1930,0,98042,390000,27,0,0
2,1.0,1470,3864,1.0,0,0,4,7,1170,300,98103,548000,98,0,0
4,1.0,800,8775,1.0,0,0,3,6,800,0,98166,268750,71,0,0
5,2.75,3150,7119,2.0,0,0,3,9,3150,0,98052,819900,1,0,1
3,2.25,2030,16200,2.0,0,0,3,8,2030,0,98027,520000,30,0,0
3,2.0,1450,11204,1.0,0,0,3,7,1450,0,98001,230000,11,0,0
3,1.75,1510,10248,1.0,0,0,3,7,1510,0,98023,240000,46,0,0
2,1.0,1240,12092,1.0,0,0,3,6,960,280,98146,232000,92,1,0
2,1.0,1240,12092,1.0,0,0,3,6,960,280,98146,240500,93,1,0
3,2.5,3030,45004,2.0,0,0,3,9,3030,0,98077,274975,27,0,0
4,2.0,2050,4400,1.5,0,0,4,9,2050,0,98102,740000,92,0,1
3,1.0,1000,7636,1.0,0,0,2,7,1000,0,98166,186375,63,0,0
3,2.25,2370,10289,1.0,0,0,4,9,1590,780,98005,790000,37,0,1
4,3.5,2800,6750,2.0,0,0,3,9,1890,910,98105,880000,63,1,1
6,1.75,2240,11180,2.0,0,0,4,7,2240,0,98198,279000,60,0,0
3,2.0,1810,10530,1.0,0,2,3,8,1810,0,98022,295000,23,0,0
2,1.0,1070,5000,1.0,0,0,3,7,1070,0,98103,640000,91,0,0
4,2.0,2490,9525,2.0,0,0,5,9,2490,0,98040,940000,46,0,1
4,2.5,1960,5238,2.0,0,0,3,7,1960,0,98038,260000,11,0,0
3,2.75,2930,5569,1.0,0,0,3,9,1860,1070,98072,559900,10,0,0
